# Program:featureCounts v2.0.2; Command:"/Applications/software_bioinformatics/subread-2.0.2-macOS-x86_64/bin/featureCounts" "-T" "8" "-p" "-a" "/Users/rashmirao/Documents/Sidra_Externship/nextflow/RNA_seq_analysis_pc_version/raw_data/S288C_reference_genome_R64-5-1_20240529/yeast.gtf" "-o" "FeatureCounts.txt" "results_star/SRR18396493Aligned.sortedByCoord.out.bam" "results_star/SRR18396494Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results_star/SRR18396493Aligned.sortedByCoord.out.bam	results_star/SRR18396494Aligned.sortedByCoord.out.bam
YBL060W	chrII	107932	109995	+	2064	1117	762
YBR089W	chrII	425183	425782	+	600	0	0
YBR025C	chrII	290681	291865	-	1185	2821	2077
YBR040W	chrII	316968	317864	+	897	9	12
YBR230C	chrII;chrII	679549;680040	679942;680050	-;-	405	12744	6885
YBL027W	chrII;chrII	168423;168809	168424;169376	+;+	570	1557	799
YBL100C	chrII	36989	37303	-	315	815	479
YBR261C	chrII	734832	735530	-	699	354	300
YBR034C	chrII	304930	305976	-	1047	1122	843
YBR101C	chrII	443821	444693	-	873	4889	5164
YBL010C	chrII	206107	206949	-	843	184	153
YBR053C	chrII	339675	340751	-	1077	5192	3953
YBL059C-A	chrII;chrII	110125;110506	110420;110539	-;-	330	701	489
YBR255C-A	chrII;chrII	726618;727012	726917;727074	-;-	363	535	360
YBL042C	chrII	138341	140260	-	1920	2167	1725
YBL039C	chrII	143989	145728	-	1740	954	547
YBR217W	chrII	657832	658392	+	561	877	412
YBR200W-A	chrII	622983	623147	+	165	43	19
YBL003C	chrII	235394	235792	-	399	76	64
YBR069C	chrII	376574	378433	-	1860	2460	1715
YBR056W-A	chrII	351255	351455	+	201	122	79
YBR009C	chrII	255373	255684	-	312	1997	1361
YBL038W	chrII	146187	146885	+	699	1850	1330
YBR056C-B	chrII	351293	351451	-	159	0	0
YBR081C	chrII	401253	405251	-	3999	3132	2789
YBR007C	chrII	248806	251016	-	2211	349	276
YBR146W	chrII	535260	536096	+	837	1430	985
YBR171W	chrII	578364	578984	+	621	1033	755
YBL028C	chrII	167518	167838	-	321	904	476
YBR135W	chrII	504854	505306	+	453	818	588
YBR264C	chrII	737770	738369	-	600	647	501
YBR043C	chrII	321876	323945	-	2070	1621	1020
YBL059W	chrII;chrII	110594;110949	110879;111244	+;+	582	207	169
YBR131W	chrII	497163	499277	+	2115	592	497
YBR233W-A	chrII	684977	685261	+	285	434	312
YBR092C	chrII	427698	429101	-	1404	265	197
YBR126C	chrII	488905	490392	-	1488	31997	22504
YBR057C	chrII	352193	353293	-	1101	1761	1306
YBR086C	chrII	420201	423041	-	2841	9486	5882
YBR174C	chrII	582338	582652	-	315	1	3
snR56	chrII	88190	88277	+	88	7	0
YBR281C	chrII	764970	767606	-	2637	760	419
YBL103C	chrII	22076	23536	-	1461	2753	1995
tG(GCC)B	chrII	197629	197699	-	71	0	0
YBR159W	chrII	558685	559728	+	1044	1030	671
YBR118W	chrII	477671	479047	+	1377	4082	3100
YBL004W	chrII	227636	235117	+	7482	1802	1055
YBR163W	chrII	565723	567480	+	1758	705	521
YBL013W	chrII	202056	203261	+	1206	307	276
YBL112C	chrII	2582	2899	-	318	0	0
YBR231C	chrII	682179	683090	-	912	997	575
YBL066C	chrII	96669	100115	-	3447	2260	1899
YBR008C	chrII	252563	254209	-	1647	1565	964
YBL015W	chrII	194122	195702	+	1581	8634	6157
YBR038W	chrII	311898	314789	+	2892	632	852
YBL018C	chrII;chrII	185998;186428	186352;186474	-;-	402	303	177
YBR253W	chrII	723270	723635	+	366	707	448
YBL068W-A	chrII	91794	92030	+	237	0	0
YBR058C	chrII	353672	356017	-	2346	2510	1619
YBL084C	chrII	67169	69445	-	2277	1432	947
YBR224W	chrII	670125	670640	+	516	83	49
YBR077C	chrII	391805	392293	-	489	1051	653
YBL087C	chrII;chrII	59822;60698	60193;60739	-;-	414	578	348
YBR098W	chrII	441515	443590	+	2076	331	283
YBR239C	chrII	698354	699943	-	1590	615	422
YBR168W	chrII	572371	573612	+	1242	788	490
YBL046W	chrII	132424	133749	+	1326	919	1001
YBR003W	chrII	242809	244230	+	1422	1146	746
YBR215W	chrII;chrII	653356;653453	653368;655317	+;+	1878	2066	1552
LSR1	chrII	680688	681862	-	1175	528	862
YBL025W	chrII	171481	171918	+	438	597	421
YBR105C	chrII	450881	451969	-	1089	3141	3050
YBR200W	chrII	620872	622527	+	1656	1809	1323
YBR190W	chrII	605966	606277	+	312	5	1
YBR248C	chrII	714807	716465	-	1659	1015	763
YBR145W	chrII	533762	534817	+	1056	962	902
YBL047C	chrII	127895	132040	-	4146	12287	7801
YBR099C	chrII	442924	443307	-	384	0	0
YBL014C	chrII	199064	201748	-	2685	1102	892
YBR062C	chrII;chrII	365976;366585	366502;366600	-;-	543	1871	1210
YBL092W	chrII	45978	46370	+	393	1355	721
YBR240C	chrII	700490	701842	-	1353	917	643
YBR251W	chrII	721390	722313	+	924	653	385
YBR199W	chrII	618909	620303	+	1395	6412	4660
YBR128C	chrII	493081	494115	-	1035	1208	772
YBR139W	chrII	515664	517190	+	1527	3106	2046
YBL070C	chrII	90605	90925	-	321	16	13
YBR054W	chrII	343101	344135	+	1035	10222	8339
YBL039W-B	chrII	143393	143572	+	180	219	124
YBR072W	chrII	382030	382674	+	645	63802	52510
YBR111C	chrII	461178	461873	-	696	2525	1818
YBL001C	chrII	237153	237467	-	315	3004	1972
YBR110W	chrII	458872	460221	+	1350	2327	1935
YBL111C	chrII;chrII	2907;4216	4116;5009	-;-	2004	20	90
YBL036C	chrII	150447	151220	-	774	2791	2111
tR(UCU)B	chrII	405878	405949	+	72	7	0
YBL094C	chrII	43765	44097	-	333	7	3
YBR033W	chrII	301944	304703	+	2760	1172	777
YBL073W	chrII	87646	87957	+	312	24	19
YBR096W	chrII	436021	436713	+	693	680	490
YBL053W	chrII	119335	119709	+	375	3	1
YBR030W	chrII	298292	299950	+	1659	1120	633
YBL076C	chrII	81043	84261	-	3219	2838	2074
YBR256C	chrII	727386	728102	-	717	1649	891
YBR162W-A	chrII	565231	565428	+	198	1681	1139
YBL077W	chrII	80897	81328	+	432	17	7
YBR156C	chrII	551104	553200	-	2097	218	168
YBL012C	chrII	203406	203807	-	402	98	68
YBL008W-A	chrII	209409	209648	+	240	0	0
YBR297W	chrII	800523	801929	+	1407	1149	736
YBR189W	chrII;chrII	604508;604928	604514;605508	+;+	588	1502	659
YBL096C	chrII	43174	43482	-	309	6	3
YBR011C	chrII	257112	257975	-	864	7962	5768
YBL041W	chrII	141247	141972	+	726	2352	1596
YBL081W	chrII	71866	72972	+	1107	229	206
YBR089C-A	chrII	426190	426489	-	300	214	158
YBR103C-A	chrII	449320	449463	-	144	6	1
YBR296C	chrII	796798	798522	-	1725	43965	27143
YBL040C	chrII;chrII	142112;142847	142749;142868	-;-	660	2198	1044
YBR165W	chrII	568852	569685	+	834	1357	970
YBL026W	chrII;chrII	170623;170805	170676;171038	+;+	288	974	511
YBR082C	chrII;chrII	406628;407123	407027;407169	-;-	447	3488	2979
YBR280C	chrII	762784	764697	-	1914	5054	3439
YBR061C	chrII	364787	365719	-	933	308	188
YBL016W	chrII	192451	193512	+	1062	3139	2157
YBR175W	chrII	582408	583355	+	948	284	167
YBR029C	chrII	296369	297742	-	1374	1363	879
YBL057C	chrII	112801	113427	-	627	672	651
YBR298C-A	chrII	805035	805256	-	222	4	0
YBR192W	chrII	607652	608785	+	1134	671	392
tQ(UUG)B	chrII	350827	350898	+	72	2	0
YBR302C	chrII	810340	811479	-	1140	12	7
YBR254C	chrII	723736	724263	-	528	326	153
YBR204C	chrII	632254	633381	-	1128	969	635
YBR220C	chrII	662995	664677	-	1683	820	474
YBR222C	chrII	666720	668351	-	1632	8908	7353
YBR290W	chrII	782591	783556	+	966	5658	3722
YBR162C	chrII	563203	564570	-	1368	738	525
YBR167C	chrII	571468	571890	-	423	236	149
YBL033C	chrII	158656	159693	-	1038	3099	2398
YBR228W	chrII	675313	676227	+	915	873	792
YBR263W	chrII	736264	737736	+	1473	1914	1468
YBR250W	chrII	719033	720604	+	1572	155	128
YBR272C	chrII	746361	747803	-	1443	1275	793
YBR120C	chrII	480435	480923	-	489	532	375
YBR084C-A	chrII;chrII	414186;415260	414753;415261	-;-	570	1703	926
YBL062W	chrII	105308	105688	+	381	0	0
YBR301W	chrII	809057	809419	+	363	14	2
YBR076W	chrII	390227	391291	+	1065	1029	676
YBR210W	chrII	645550	645978	+	429	361	204
YBR106W	chrII	452658	453224	+	567	471	397
YBR005W	chrII	245906	246547	+	642	4223	2771
YBR153W	chrII	547460	548194	+	735	663	499
YBR132C	chrII	499652	501442	-	1791	1847	1192
YBR166C	chrII	569842	571200	-	1359	1296	839
YBR221W-A	chrII	666538	666642	+	105	65	54
YBR131C-A	chrII	497650	497739	-	90	0	0
YBR161W	chrII	561634	562764	+	1131	1091	813
YBR109C	chrII	457919	458362	-	444	1246	1042
YBR255W	chrII	724456	726540	+	2085	2471	1895
YBR205W	chrII	633622	634836	+	1215	635	403
YBR296C-A	chrII	800123	800242	-	120	109	62
YBL043W	chrII	136688	137461	+	774	1104	354
YBR130C	chrII	495592	496869	-	1278	492	380
YBR206W	chrII	634601	634924	+	324	53	27
YBR122C	chrII	483970	484503	-	534	2109	1540
YBR295W	chrII	792849	796499	+	3651	1334	958
YBR004C	chrII	244366	245667	-	1302	1762	955
YBR202W	chrII	625772	628309	+	2538	601	364
YBR001C	chrII	238941	241283	-	2343	5832	3534
YBL113C	chrII	280	2658	-	2379	436	298
YBR288C	chrII	778012	779463	-	1452	393	250
YBR282W	chrII	768240	768680	+	441	799	701
YBL072C	chrII	88523	89125	-	603	1656	850
YBR103W	chrII	447709	449316	+	1608	1575	1079
YBR107C	chrII	453793	454530	-	738	295	218
YBL024W	chrII	172534	174588	+	2055	1222	742
YBR012C	chrII	259147	259566	-	420	0	0
YBR188C	chrII	603685	604107	-	423	463	364
YBL075C	chrII	84499	86448	-	1950	70557	64468
YBR102C	chrII	445062	447323	-	2262	1201	884
YBR006W	chrII	247010	248503	+	1494	3912	2957
YBL051C	chrII	122753	124759	-	2007	3695	2824
YBR196C	chrII	612236	613900	-	1665	8874	9117
YBL031W	chrII	161699	162715	+	1017	56	34
YBR141W-A	chrII	527167	527262	+	96	0	0
YBL006W-A	chrII	216711	216860	+	150	0	0
YBL100W-C	chrII	28427	28546	+	120	84	52
YBR236C	chrII	690383	691693	-	1311	884	677
YBR276C	chrII	757620	760043	-	2424	1246	972
YBR036C	chrII	309081	310313	-	1233	6498	4828
YBR045C	chrII	328173	330092	-	1920	2967	2514
YBR291C	chrII	783673	784572	-	900	649	328
YBR137W	chrII	513044	513583	+	540	1887	1436
YBR079C	chrII	395383	398277	-	2895	3107	1950
YBR017C	chrII	270947	273703	-	2757	2967	1721
YBL044W	chrII	135998	136366	+	369	13	10
YBL023C	chrII	174920	177526	-	2607	564	612
YBR127C	chrII	491269	492822	-	1554	7478	5287
YBR152W	chrII	546376	547251	+	876	947	795
YBR035C	chrII	306269	306955	-	687	2672	1905
YBR289W	chrII	779667	782384	+	2718	1968	1771
YBL017C	chrII	186844	191583	-	4740	7725	5745
YBR157C	chrII	553543	554310	-	768	1583	743
YBL104C	chrII	18177	21293	-	3117	950	768
YBL109W	chrII	5790	6125	+	336	23	12
tL(UAA)B1	chrII	9583	9666	+	84	0	0
YBR072C-A	chrII	382860	383021	-	162	24	5
YBR300C	chrII	808600	809097	-	498	13	2
YBR195C	chrII	610614	611882	-	1269	279	249
YBR233W	chrII	683428	684669	+	1242	259	164
YBR262C	chrII	735720	736040	-	321	1113	757
YBR020W	chrII	279021	280607	+	1587	13854	31371
YBR085C-A	chrII	418907	419164	-	258	70406	39871
YBR123C	chrII	484742	486691	-	1950	1067	773
YBR221C	chrII	665153	666253	-	1101	4882	3719
YBL029W	chrII	166134	167264	+	1131	1734	929
YBL045C	chrII	134143	135516	-	1374	5281	3155
YBR191W-A	chrII	607149	607223	+	75	3	0
YBR154C	chrII	548362	549009	-	648	1344	994
YBR278W	chrII	760294	760899	+	606	189	112
YBR273C	chrII	748061	749371	-	1311	3414	2749
YBR032W	chrII	301519	301821	+	303	97	72
YBR048W	chrII;chrII	332831;333387	332875;333812	+;+	471	603	376
YBR104W	chrII	449667	450656	+	990	370	349
YBL079W	chrII	75259	79767	+	4509	2810	1856
YBR265W	chrII	738582	739544	+	963	1156	782
YBR249C	chrII	716882	717994	-	1113	1186	937
YBR203W	chrII	629168	631942	+	2775	2502	1542
YBR184W	chrII	597363	598934	+	1572	428	255
YBR170C	chrII	576344	578086	-	1743	2575	1891
YBR173C	chrII	581726	582172	-	447	3355	2334
YBR133C	chrII	501804	504287	-	2484	939	728
YBR275C	chrII	751356	757106	-	5751	932	742
YBL108W	chrII	8177	8482	+	306	7	3
YBL113W-A	chrII	646	1128	+	483	0	0
YBL085W	chrII	63876	66818	+	2943	1649	1497
YBL052C	chrII	119379	121874	-	2496	734	522
YBL009W	chrII	207194	209224	+	2031	146	103
YBR283C	chrII	768943	770415	-	1473	2725	2036
YBR094W	chrII	432036	434297	+	2262	2305	1289
YBR258C	chrII	729734	730162	-	429	757	601
YBR201W	chrII	623576	624211	+	636	506	273
YBR070C	chrII	379221	379934	-	714	83	92
tE(UUC)B	chrII	645167	645238	+	72	0	0
YBR198C	chrII	616127	618523	-	2397	2985	2398
YBL056W	chrII	113762	115168	+	1407	4961	3727
YBL099W	chrII	37053	38690	+	1638	3048	2184
YBR257W	chrII	728885	729724	+	840	1356	775
YBR126W-A	chrII	490850	491056	+	207	49	40
YBR242W	chrII	704670	705386	+	717	1888	1082
YBL008W	chrII	209653	212175	+	2523	621	400
YBR181C	chrII;chrII	591712;592769	592416;592774	-;-	711	917	496
tC(GCA)B	chrII	643007	643078	-	72	26	17
YBR052C	chrII	338720	339352	-	633	1195	835
YBR093C	chrII	429548	430951	-	1404	441	411
YBR049C	chrII	334386	336818	-	2433	2852	1884
YBR056W	chrII	347879	349384	+	1506	6895	4915
YBL030C	chrII	163041	163997	-	957	1852	969
tT(AGU)B	chrII	266378	266450	+	73	0	0
YBR141C	chrII	527025	528038	-	1014	337	202
YBR226C	chrII	673155	673565	-	411	22	18
YBL005W	chrII	217470	220400	+	2931	2457	1951
YBR151W	chrII	545028	545978	+	951	10607	8402
YBR144C	chrII	533235	533549	-	315	9	7
YBR178W	chrII	586071	586445	+	375	21	8
YBR138C	chrII	513762	515336	-	1575	600	515
YBL090W	chrII	48825	49358	+	534	1504	968
YBL105C	chrII	14241	17696	-	3456	4898	3081
YBL102W	chrII	24098	24745	+	648	1400	1163
YBL011W	chrII	203538	205817	+	2280	1171	860
YBR095C	chrII	434406	435698	-	1293	1207	1068
YBR196C-B	chrII	614526	614630	-	105	29	11
YBL048W	chrII	127299	127610	+	312	281	223
YBR066C	chrII	370037	370699	-	663	1936	934
YBR292C	chrII	784702	785073	-	372	36	38
YBR018C	chrII	274427	275527	-	1101	8305	18348
YBR194W	chrII	610038	610409	+	372	308	167
YBR076C-A	chrII	391351	391617	-	267	501	283
YBR108W	chrII	454822	457665	+	2844	2917	2224
YBR046C	chrII	330507	331511	-	1005	4948	3133
YBR235W	chrII	686901	690263	+	3363	2056	1392
YBR274W	chrII	749594	751177	+	1584	624	479
YBL006C	chrII	216587	217129	-	543	2251	1279
YBR186W	chrII;chrII	600553;602217	602103;602360	+;+	1695	341	330
YBR277C	chrII	760215	760616	-	402	1	3
YBR185C	chrII	599123	599959	-	837	266	141
YBL078C	chrII	80378	80731	-	354	4860	3819
YBR037C	chrII	310565	311452	-	888	891	550
YBR015C	chrII	267710	269503	-	1794	2753	1456
YBR016W	chrII	270247	270633	+	387	8606	5681
YBL107W-A	chrII	9268	9372	+	105	0	1
YBL071W-A	chrII	89978	90226	+	249	453	461
YBR269C	chrII	742160	742576	-	417	5377	4910
YBR266C	chrII	739936	740388	-	453	0	0
YBR055C	chrII	344602	347301	-	2700	1337	911
YBR088C	chrII	424990	425766	-	777	0	3
tV(UAC)B	chrII	326792	326865	-	74	0	0
YBL019W	chrII	184353	185915	+	1563	1102	884
YBR112C	chrII	462870	465770	-	2901	1535	1093
YBR164C	chrII	567875	568426	-	552	822	576
YBR148W	chrII	537876	539705	+	1830	539	277
YBL020W	chrII	182401	184125	+	1725	727	442
YBR208C	chrII	636703	642210	-	5508	1297	763
tD(GUC)B	chrII	405960	406031	+	72	3	3
YBR172C	chrII	579150	581372	-	2223	3302	2258
YBL097W	chrII	40831	43095	+	2265	317	261
YBR050C	chrII	337183	338199	-	1017	1500	705
YBR183W	chrII	596115	597065	+	951	2509	1563
YBR213W	chrII	650368	651192	+	825	709	527
YBR113W	chrII	465566	466048	+	483	94	86
YBL091C-A	chrII;chrII	46565;47147	47058;47180	-;-	528	407	311
YBR196C-A	chrII	614024	614173	-	150	19	3
YBR286W	chrII	774700	776313	+	1614	27181	17191
YBR268W	chrII	741299	741616	+	318	844	581
YBR058C-A	chrII	356324	356566	-	243	998	588
YBR287W	chrII	776571	777854	+	1284	4836	3316
YBL083C	chrII	69713	70138	-	426	7	0
YBL061C	chrII	105316	107406	-	2091	887	709
YBR267W	chrII	739841	741022	+	1182	713	497
YBR114W	chrII	467248	469620	+	2373	2020	1973
YBL032W	chrII	160184	161329	+	1146	977	930
YBR219C	chrII;chrII	662499;663003	662581;663303	-;-	384	0	0
tF(GAA)B	chrII;chrII	36398;36453	36434;36488	+;+	73	0	0
YBR299W	chrII	805351	807105	+	1755	20	11
YBR191W	chrII;chrII	606270;606669	606280;607140	+;+	483	1220	660
YBR125C	chrII	487199	488380	-	1182	1755	1110
YBL069W	chrII	90741	92030	+	1290	756	616
YBR223C	chrII	668663	670297	-	1635	774	644
YBR074W	chrII	386286	389216	+	2931	1825	1096
YBR201C-A	chrII	624493	624696	-	204	333	197
YBR187W	chrII	602634	603476	+	843	248	161
YBL021C	chrII	181660	182094	-	435	488	347
YBL049W	chrII	126828	127244	+	417	1221	757
YBL035C	chrII	151493	153610	-	2118	341	300
YBL095W	chrII	43277	44089	+	813	898	521
YBR073W	chrII	383112	385988	+	2877	1736	1007
YBR109W-A	chrII	458608	458832	+	225	47	21
YBR260C	chrII	732639	734639	-	2001	1446	1170
YBR279W	chrII	761257	762594	+	1338	4627	4489
YBR211C	chrII	646158	647132	-	975	1487	936
YBR078W	chrII;chrII	393123;393511	393180;394742	+;+	1290	902	813
YBR063C	chrII	366970	368184	-	1215	1195	570
YBR028C	chrII	294425	296002	-	1578	1777	1130
YBL039C-A	chrII	144948	145031	-	84	0	0
YBR129C	chrII	494353	495339	-	987	2016	1340
YBL050W	chrII;chrII	125125;125271	125154;126119	+;+	879	5928	4195
YBR051W	chrII	337988	338338	+	351	87	41
YBR080C	chrII	398614	400890	-	2277	2215	1352
YBL058W	chrII	111437	112708	+	1272	6508	4227
YBL101C	chrII	24946	28299	-	3354	6408	4284
YBR140C	chrII	517350	526628	-	9279	7500	4484
YBR021W	chrII	281443	283344	+	1902	1149	837
YBR232C	chrII	683373	683732	-	360	11	4
YBR024W	chrII	289445	290350	+	906	1244	972
YBL005W-B	chrII	221330	226598	+	5269	220	179
YBL100W-A	chrII	29935	31251	+	1317	0	0
YBR012W-B	chrII	259869	265140	+	5272	3	3
YBR012W-A	chrII	259869	261191	+	1323	0	0
YBL005W-A	chrII	221330	222652	+	1323	0	0
YBL100W-B	chrII	29935	35248	+	5314	519	514
YNR017W	chrXIV	662913	663581	+	669	736	521
YNL105W	chrXIV	424155	424583	+	429	7	3
YNR069C	chrXIV	761123	762592	-	1470	850	673
YNL306W	chrXIV	58155	58808	+	654	2587	2023
YNL288W	chrXIV	90303	91424	+	1122	2198	1712
YNL191W	chrXIV	280432	281505	+	1074	1408	1110
YNL150W	chrXIV	349251	349658	+	408	10	5
YNL097C	chrXIV	441366	442358	-	993	1825	1077
tN(GUU)N1	chrXIV	102716	102789	+	74	0	0
YNL137C	chrXIV	368595	370055	-	1461	1756	966
YNL331C	chrXIV	16118	17248	-	1131	1036	819
YNL030W	chrXIV	576727	577038	+	312	1021	758
YNL297C	chrXIV	71673	76583	-	4911	2010	1370
YNL102W	chrXIV	430087	434493	+	4407	214	102
YNR026C	chrXIV	673274	674689	-	1416	909	637
YNL152W	chrXIV	346313	347542	+	1230	512	525
YNL140C	chrXIV	360917	361486	-	570	1	0
YNL099C	chrXIV	438567	439283	-	717	1183	966
YNL182C	chrXIV	295960	297627	-	1668	382	280
YNL180C	chrXIV	299654	300649	-	996	15117	8837
YNR001C	chrXIV	629622	631061	-	1440	13650	8438
YNL091W	chrXIV	452408	456130	+	3723	7113	5552
YNL157W	chrXIV	340352	340858	+	507	5660	4351
YNL315C	chrXIV	43324	44280	-	957	729	649
YNL221C	chrXIV	231068	233695	-	2628	1986	1537
YNR052C	chrXIV	719346	720647	-	1302	2071	1560
YNL061W	chrXIV	510540	512396	+	1857	2920	2364
YNL284C	chrXIV	103134	104102	-	969	1743	1158
YNR040W	chrXIV	699690	700460	+	771	349	321
YNL246W	chrXIV;chrXIV	185460;185587	185491;186349	+;+	795	1976	1343
YNL097W-A	chrXIV	441431	441586	+	156	0	0
YNL121C	chrXIV	398684	400537	-	1854	3264	2381
snR191	chrXIV	721938	722211	-	274	35	18
YNL043C	chrXIV	545589	545909	-	321	120	99
YNR055C	chrXIV	728426	730186	-	1761	1618	1240
YNL039W	chrXIV	555048	556832	+	1785	2006	1596
YNR036C	chrXIV	694361	694822	-	462	2825	1941
YNL304W	chrXIV	60297	61550	+	1254	161	142
YNL119W	chrXIV	401040	402521	+	1482	729	417
YNL034W	chrXIV	570477	572315	+	1839	227	167
YNL187W	chrXIV	287994	289067	+	1074	613	456
YNL310C	chrXIV	51907	52431	-	525	312	257
YNL277W	chrXIV	117349	118809	+	1461	2685	2009
YNL126W	chrXIV	387227	389767	+	2541	271	186
tL(UAA)N	chrXIV	726134	726217	-	84	0	0
YNL210W	chrXIV	250931	251743	+	813	130	120
YNR041C	chrXIV	700541	701659	-	1119	137	102
YNL193W	chrXIV	274368	276044	+	1677	2831	1865
YNL301C	chrXIV;chrXIV	63570;64451	64018;64562	-;-	561	193	142
YNL263C	chrXIV	146896	147840	-	945	1239	913
YNL059C	chrXIV	512668	514935	-	2268	1637	1288
YNL028W	chrXIV	578679	578996	+	318	2	3
YNL044W	chrXIV;chrXIV	545268;545371	545291;545877	+;+	531	1126	1110
YNL026W	chrXIV	581920	583374	+	1455	1018	610
YNL067W	chrXIV	499681	500256	+	576	89	65
YNL205C	chrXIV	258155	258577	-	423	7	6
YNL104C	chrXIV	424895	426754	-	1860	5126	3407
YNL169C	chrXIV	316169	317671	-	1503	1313	885
YNL268W	chrXIV	138550	140385	+	1836	2956	2159
YNL162W	chrXIV;chrXIV	331322;331838	331325;332154	+;+	321	241	98
YNL257C	chrXIV	160631	164320	-	3690	1886	1146
YNL229C	chrXIV	219137	220201	-	1065	3283	2323
YNL042W-B	chrXIV	547113	547370	+	258	11	12
YNL248C	chrXIV	181361	182608	-	1248	943	648
YNR045W	chrXIV	706139	707608	+	1470	1421	908
YNR051C	chrXIV	716780	718327	-	1548	2178	1553
YNL190W	chrXIV	282395	283009	+	615	11043	8015
YNL194C	chrXIV	272710	273615	-	906	23971	14775
YNL080C	chrXIV	476932	478032	-	1101	969	582
YNR005C	chrXIV	636931	637335	-	405	1	1
YNR064C	chrXIV	749136	750008	-	873	670	487
YNL145W	chrXIV	352414	352530	+	117	46	53
YNR068C	chrXIV	760067	760885	-	819	425	298
YNL323W	chrXIV	31944	33188	+	1245	1386	1121
YNL003C	chrXIV	624975	625829	-	855	1418	1041
YNL199C	chrXIV	264926	266530	-	1605	3712	2597
YNL048W	chrXIV	538173	539819	+	1647	973	610
YNL072W	chrXIV	490317	491240	+	924	315	242
YNL224C	chrXIV	224796	227099	-	2304	1689	1465
YNL067W-A	chrXIV	498538	498684	+	147	7	8
YNR032W	chrXIV	686010	687116	+	1107	881	678
YNL206C	chrXIV	256788	258155	-	1368	1512	964
YNR062C	chrXIV	744360	745343	-	984	276	141
YNL203C	chrXIV	259439	260050	-	612	101	57
YNL273W	chrXIV	122883	126599	+	3717	330	136
tI(AAU)N1	chrXIV	569867	569940	-	74	16	20
YNL213C	chrXIV	246460	247104	-	645	714	901
YNL055C	chrXIV	517994	518845	-	852	5721	5189
YNL170W	chrXIV	315978	316373	+	396	10	3
YNR013C	chrXIV	649028	651712	-	2685	1969	1620
YNL269W	chrXIV	137699	138094	+	396	242	99
YNR020C	chrXIV	667410	668222	-	813	349	284
YNL041C	chrXIV	549468	551987	-	2520	2736	2159
YNL234W	chrXIV	210233	211513	+	1281	280	267
YNL165W	chrXIV	323832	325052	+	1221	876	522
YNL116W	chrXIV	408341	409909	+	1569	3037	2191
YNL008C	chrXIV	616211	618241	-	2031	1537	968
YNL309W	chrXIV	52662	53924	+	1263	380	326
YNR015W	chrXIV	653387	654541	+	1155	896	540
YNR075W	chrXIV	779916	781040	+	1125	199	116
YNL025C	chrXIV	584320	585291	-	972	959	604
YNL058C	chrXIV	515763	516713	-	951	460	404
YNL313C	chrXIV	45308	48022	-	2715	1063	797
YNL122C	chrXIV	398023	398370	-	348	748	543
YNL094W	chrXIV	447611	449374	+	1764	3274	2132
YNL001W	chrXIV	627456	628616	+	1161	1207	786
YNL317W	chrXIV	40619	42016	+	1398	1573	1099
YNL035C	chrXIV	568522	569691	-	1170	1920	1761
YNL007C	chrXIV	618507	619565	-	1059	10540	8514
YNL162W-A	chrXIV	330329	330547	+	219	150	99
YNR039C	chrXIV	697614	699431	-	1818	2716	1853
YNL103W-A	chrXIV	426719	426808	+	90	97	65
tL(CAA)N	chrXIV;chrXIV	443006;443076	443043;443119	+;+	82	7	2
YNL052W	chrXIV	531725	532186	+	462	5384	3279
YNL120C	chrXIV	401033	401518	-	486	0	0
YNL002C	chrXIV	626174	627142	-	969	2283	1597
YNL311C	chrXIV	49397	51688	-	2292	1732	1527
YNR007C	chrXIV	639182	640114	-	933	4678	4141
YNL291C	chrXIV	84169	85815	-	1647	366	297
YNL195C	chrXIV	271523	272308	-	786	16416	8685
YNL087W	chrXIV	462411	465947	+	3537	1014	667
tF(GAA)N	chrXIV;chrXIV	374869;374924	374905;374959	+;+	73	3	4
YNL217W	chrXIV	240331	241311	+	981	1580	984
YNL029C	chrXIV	577205	578773	-	1569	609	397
YNR028W	chrXIV	676177	677103	+	927	1225	801
YNL009W	chrXIV	614821	616083	+	1263	1423	1434
YNL024C-A	chrXIV	586602	586820	-	219	969	600
YNL334C	chrXIV	12208	12876	-	669	65	59
YNL319W	chrXIV	38642	39082	+	441	2	0
YNL295W	chrXIV	76946	78520	+	1575	1577	1435
tN(GUU)N2	chrXIV	632599	632672	+	74	1	2
YNL192W	chrXIV	276502	279897	+	3396	49389	40166
YNL149C	chrXIV	349367	349756	-	390	466	275
YNL071W	chrXIV	491523	492971	+	1449	6683	5552
YNL089C	chrXIV	456693	457169	-	477	5	0
YNL308C	chrXIV	54122	55897	-	1776	3278	2842
YNL239W	chrXIV	200569	201933	+	1365	1151	1005
YNL275W	chrXIV	119268	120998	+	1731	382	256
YNR071C	chrXIV	770440	771468	-	1029	0	0
YNL226W	chrXIV	222239	222649	+	411	1	3
YNL040W	chrXIV	553380	554750	+	1371	1611	1180
YNL117W	chrXIV	406358	408022	+	1665	3048	1042
YNL050C	chrXIV;chrXIV	534079;534966	534874;534982	-;-	813	1348	943
YNL086W	chrXIV	466334	466642	+	309	185	154
YNL017C	chrXIV	602138	602476	-	339	20	7
YNR070W	chrXIV	765375	769376	+	4002	23	9
YNR067C	chrXIV	755746	759099	-	3354	204	197
